Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
795,Abattoir process worker; Meat process worker; Meatworker – meatworker’s labourer,Female,"5,961","36,359",,,,
881,Abattoir process worker; Meat process worker; Meatworker – meatworker’s labourer,Male,"17,241","40,954",,,,
699,Aboriginal and Torres Strait Islander education worker,Female,"1,386","40,926",,,,
828,Aboriginal and Torres Strait Islander education worker,Male,636,"44,077",,,,
641,Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker,Female,"1,878","43,545",,,,
760,Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker,Male,903,"47,833",,,,
200,Accountant; Bank accountant; Chartered accountant; Financial analyst,Female,"78,380","71,552",,,,
136,Accountant; Bank accountant; Chartered accountant; Financial analyst,Male,"77,112","105,107",,,,
157,Accounting practice manager; Architectural practice manager; Legal practice manager; Manager – other practice; Veterinary practice manager,Female,"28,263","77,421",,,,
99,Accounting practice manager; Architectural practice manager; Legal practice manager; Manager – other practice; Veterinary practice manager,Male,"46,486","115,908",,,,
577,Accounts clerk; Finance officer,Female,"81,718","47,153",,,,
508,Accounts clerk; Finance officer,Male,"16,628","64,667",,,,
827,Actor,Female,"2,670","34,736",,,,
936,Actor,Male,"3,481","36,624",,,,
491,Actuarial clerk; Statistical clerk Clerical and office,Female,614,"51,681",,,,
532,Actuarial clerk; Statistical clerk Clerical and office,Male,498,"62,893",,,,
35,Actuary,Female,577,"136,819",,,,
45,Actuary,Male,"1,208","196,144",,,,
801,Acupuncturist,Female,208,"35,944",,,,
829,Acupuncturist,Male,139,"43,983",,,,
639,Administration assistant; Office worker,Female,"293,738","43,604",,,,
803,Administration assistant; Office worker,Male,"36,889","45,784",,,,
566,Administrative service officer – levels 1–2; Public servant – administrative service officer – levels 1–2,Female,"26,782","47,529",,,,
592,Administrative service officer – levels 1–2; Public servant – administrative service officer – levels 1–2,Male,"6,992","58,373",,,,
